policy,estimator,B,mean_pehe,std_pehe
random,ols,50,0.3702614125112976,0.09873002394721776
random,ols,100,0.2658632567817004,0.09520651564720185
random,ols,200,0.17916539750902735,0.06328237544570993
random,ols,400,0.13324082422338485,0.04511717033648055
random,ols,800,0.08926453688624392,0.0315987558005107
random,ridge,50,0.33968816987692957,0.08535037919058892
random,ridge,100,0.2551358272815906,0.0908432637971804
random,ridge,200,0.17562118589337325,0.06206084138607062
random,ridge,400,0.1319683797495677,0.044691588804074985
random,ridge,800,0.0889283872459233,0.03146246133688038
random,segment_mean,50,0.3702614125112976,0.09873002394721776
random,segment_mean,100,0.26586325678170036,0.09520651564720187
random,segment_mean,200,0.17916539750902735,0.06328237544570993
random,segment_mean,400,0.13324082422338485,0.04511717033648055
random,segment_mean,800,0.08926453688624392,0.0315987558005107
random,oracle_constant,50,0.2795084971874738,5.551115123125783e-17
random,oracle_constant,100,0.2795084971874738,5.551115123125783e-17
random,oracle_constant,200,0.2795084971874738,5.551115123125783e-17
random,oracle_constant,400,0.2795084971874738,5.551115123125783e-17
random,oracle_constant,800,0.2795084971874738,5.551115123125783e-17
uncertainty,ols,50,0.3530777622160817,0.11000627175092942
uncertainty,ols,100,0.25762326613856185,0.10364323137941223
uncertainty,ols,200,0.18421952440705744,0.05769026631276346
uncertainty,ols,400,0.13251481881167532,0.04640211340706573
uncertainty,ols,800,0.10032899826139048,0.03858335704937093
uncertainty,ridge,50,0.3278363037308709,0.10084119821228468
uncertainty,ridge,100,0.24829682518341217,0.10007057773835099
uncertainty,ridge,200,0.1811424941808721,0.056735977971622
uncertainty,ridge,400,0.13142520632323024,0.045961095850012804
uncertainty,ridge,800,0.09989041777490335,0.03844999358839259
uncertainty,segment_mean,50,0.3530777622160817,0.11000627175092942
uncertainty,segment_mean,100,0.25762326613856185,0.10364323137941223
uncertainty,segment_mean,200,0.18421952440705744,0.05769026631276346
uncertainty,segment_mean,400,0.13251481881167532,0.04640211340706573
uncertainty,segment_mean,800,0.10032899826139048,0.03858335704937094
uncertainty,oracle_constant,50,0.2795084971874738,5.551115123125783e-17
uncertainty,oracle_constant,100,0.2795084971874738,5.551115123125783e-17
uncertainty,oracle_constant,200,0.2795084971874738,5.551115123125783e-17
uncertainty,oracle_constant,400,0.2795084971874738,5.551115123125783e-17
uncertainty,oracle_constant,800,0.2795084971874738,5.551115123125783e-17
algorithm1,ols,50,0.3530777622160817,0.11000627175092942
algorithm1,ols,100,0.25762326613856185,0.10364323137941223
algorithm1,ols,200,0.18421952440705744,0.05769026631276346
algorithm1,ols,400,0.13251481881167532,0.04640211340706573
algorithm1,ols,800,0.10032899826139048,0.03858335704937093
algorithm1,ridge,50,0.3278363037308709,0.10084119821228468
algorithm1,ridge,100,0.24829682518341217,0.10007057773835099
algorithm1,ridge,200,0.1811424941808721,0.056735977971622
algorithm1,ridge,400,0.13142520632323024,0.045961095850012804
algorithm1,ridge,800,0.09989041777490335,0.03844999358839259
algorithm1,segment_mean,50,0.3530777622160817,0.11000627175092942
algorithm1,segment_mean,100,0.25762326613856185,0.10364323137941223
algorithm1,segment_mean,200,0.18421952440705744,0.05769026631276346
algorithm1,segment_mean,400,0.13251481881167532,0.04640211340706573
algorithm1,segment_mean,800,0.10032899826139048,0.03858335704937094
algorithm1,oracle_constant,50,0.2795084971874738,5.551115123125783e-17
algorithm1,oracle_constant,100,0.2795084971874738,5.551115123125783e-17
algorithm1,oracle_constant,200,0.2795084971874738,5.551115123125783e-17
algorithm1,oracle_constant,400,0.2795084971874738,5.551115123125783e-17
algorithm1,oracle_constant,800,0.2795084971874738,5.551115123125783e-17
